feature_name,type,formula,base_columns
"g_aaa","raw","g_aaa","g_aaa"
"ab_aaa","raw","ab_aaa","ab_aaa"
"pa_aaa","raw","pa_aaa","pa_aaa"
"h_aaa","raw","h_aaa","h_aaa"
"x1b_aaa","raw","x1b_aaa","x1b_aaa"
"x2b_aaa","raw","x2b_aaa","x2b_aaa"
"x3b_aaa","raw","x3b_aaa","x3b_aaa"
"hr_aaa","raw","hr_aaa","hr_aaa"
"r_aaa","raw","r_aaa","r_aaa"
"rbi_aaa","raw","rbi_aaa","rbi_aaa"
"bb_aaa","raw","bb_aaa","bb_aaa"
"ibb_aaa","raw","ibb_aaa","ibb_aaa"
"so_aaa","raw","so_aaa","so_aaa"
"hbp_aaa","raw","hbp_aaa","hbp_aaa"
"sf_aaa","raw","sf_aaa","sf_aaa"
"sh_aaa","raw","sh_aaa","sh_aaa"
"gdp_aaa","raw","gdp_aaa","gdp_aaa"
"sb_aaa","raw","sb_aaa","sb_aaa"
"cs_aaa","raw","cs_aaa","cs_aaa"
"avg_aaa","raw","avg_aaa","avg_aaa"
"bb_percent_aaa","raw","bb_percent_aaa","bb_percent_aaa"
"k_percent_aaa","raw","k_percent_aaa","k_percent_aaa"
"bb_k_aaa","raw","bb_k_aaa","bb_k_aaa"
"obp_aaa","raw","obp_aaa","obp_aaa"
"slg_aaa","raw","slg_aaa","slg_aaa"
"ops_aaa","raw","ops_aaa","ops_aaa"
"iso_aaa","raw","iso_aaa","iso_aaa"
"spd_aaa","raw","spd_aaa","spd_aaa"
"babip_aaa","raw","babip_aaa","babip_aaa"
"w_rc_aaa","raw","w_rc_aaa","w_rc_aaa"
"w_raa_aaa","raw","w_raa_aaa","w_raa_aaa"
"w_oba_aaa","raw","w_oba_aaa","w_oba_aaa"
"w_rc_2_aaa","raw","w_rc_2_aaa","w_rc_2_aaa"
"w_bs_r_aaa","raw","w_bs_r_aaa","w_bs_r_aaa"
"gb_percent_aaa","raw","gb_percent_aaa","gb_percent_aaa"
"ld_percent_aaa","raw","ld_percent_aaa","ld_percent_aaa"
"fb_percent_aaa","raw","fb_percent_aaa","fb_percent_aaa"
"iffb_percent_aaa","raw","iffb_percent_aaa","iffb_percent_aaa"
"hr_fb_aaa","raw","hr_fb_aaa","hr_fb_aaa"
"gb_fb_aaa","raw","gb_fb_aaa","gb_fb_aaa"
"oppo_percent_aaa","raw","oppo_percent_aaa","oppo_percent_aaa"
"pull_percent_aaa","raw","pull_percent_aaa","pull_percent_aaa"
"cent_percent_aaa","raw","cent_percent_aaa","cent_percent_aaa"
"balls_aaa","raw","balls_aaa","balls_aaa"
"strikes_aaa","raw","strikes_aaa","strikes_aaa"
"pitches_aaa","raw","pitches_aaa","pitches_aaa"
